代码,名称,所属行业
D,道明尼资源,公用事业 - 受监管电力
DAKT,Daktronics,电子元器件
DAL,达美航空,航空公司
DAN,达纳,汽车零件
DAR,美国达尔令国际,包装食品
DASH,DoorDash,互联网内容与信息
DAVA,Endava,软件 - 基础架构
DAWN,Day One Biopharmaceuticals,生物技术
DB,德意志银行,银行 - 地区性
DBRG,DigitalBridge Group,房地产服务
DBX,Dropbox,软件 - 基础架构
DCI,唐纳森,特种工业机械
DCO,杜科蒙,航空航天和国防
DCOM,迪募社区银行,银行 - 地区性
DD,杜邦,特种化学品
DDL,叮咚买菜,杂货商店
DDOG,Datadog,软件 - 应用
DDS,迪拉德百货,百货商店
DE,迪尔股份,农用及重型工程机械
DECK,Deckers Outdoor,鞋类及配件
DEI,道格拉斯艾美特,房地产投资信托 - 写字楼
DELL,戴尔科技,电脑硬件
DENN,丹尼斯,餐厅
DEO,帝亚吉欧,饮料 - 酿酒厂
DESP,Despegar.com,旅游服务
DFS,发现金融,信贷服务
DG,美国达乐公司,折扣店
DGII,美国迪进国际,通讯设备
DGX,奎斯特诊疗,诊断与研究
DHI,霍顿房屋,住宅施工
DHR,丹纳赫,诊断与研究
DHT,DHT控股,石油和天然气中游
DIN,Dine Brands Global Inc,餐厅
DINO,HF Sinclair,石油和天然气精炼与营销
DIS,迪士尼,娱乐
DJCO,每日期刊,软件 - 应用
DK,Delek US,石油和天然气精炼与营销
DKNG,DraftKings,博彩
DKS,迪克体育用品,专业零售
DLB,杜比实验室,专业商务服务
DLO,DLocal,软件 - 基础架构
DLR,数字房地产信托公司,房地产投资信托 - 专业
DLTR,美元树公司,折扣店
DMAC,DiaMedica Therapeutics,生物技术
DNA,Ginkgo Bioworks,生物技术
DNB,邓白氏,财务数据与证券交易所
DNMR,Danimer Scientific,特种化学品
DOC,Healthpeak Properties,房地产投资信托 - 医疗保健设施
DOCS,Doximity,健康信息服务
DOOO,BRP,休闲车
DOV,都福集团,特种工业机械
DOW,陶氏化学,化工品
DOX,Amdocs,软件 - 基础架构
DPZ,达美乐比萨,餐厅
DQ,大全新能源,半导体设备与材料
DRI,达登饭店,餐厅
DSGX,笛卡尔物流系统集团,软件 - 应用
DT,Dynatrace,软件 - 应用
DTM,DT Midstream,石油和天然气中游
DUK,杜克能源,公用事业 - 受监管电力
DVA,德维特,医疗设施
DVN,戴文能源,石油和天然气勘探及生产
DXC,DXC Technology,信息技术服务
DXCM,德康医疗,医疗设备
EA,艺电,电子游戏与多媒体
EAF,GrafTech,电气设备及零件
EBAY,eBay,互联网零售
ECDA,ECD Automotive Design,汽车制造商
ECL,艺康集团,特种化学品
ECPG,安可资本,抵押金融
EDU,新东方,教育培训服务
EEFT,嘉银通,软件 - 基础架构
EFC,Ellington投资,房地产投资信托 - 抵押
EFX,艾可菲,咨询服务
EG,Everest Group,保险 - 再保险
EGAN,eGain,软件 - 应用
EGO,埃氏金业,黄金
EHC,Encompass Health,医疗设施
EIX,爱迪生国际,公用事业 - 受监管电力
EL,雅诗兰黛,家用和个人产品
ELAN,Elanco Animal Health,药品制造商 - 专业和通用
ELME,Elme Communities,房地产投资信托 - 住宅
ELV,Elevance Health,医疗计划
EMBC,Embecta,医疗设备和用品
EME,EMCOR Group,工程建设
EMN,伊士曼化工,特种化学品
EMR,艾默生电气,特种工业机械
ENB,恩桥,石油和天然气中游
ENOV,Enovis Corp,特种工业机械
ENPH,Enphase Energy,太阳能
ENR,劲量控股,电气设备及零件
ENS,艾诺斯,电气设备及零件
ENTG,英特格,半导体设备与材料
EOG,EOG能源,石油和天然气勘探及生产
EPAM,EPAM Systems,信息技术服务
EPD,Enterprise Products,石油和天然气中游
EQC,Equity Commonwealth,房地产投资信托 - 写字楼
EQH,Equitable,保险 - 多元化
EQIX,易昆尼克斯,房地产投资信托 - 专业
EQNR,Equinor,石油和天然气综合
EQR,资产住宅公司,房地产投资信托 - 住宅
EQT,EQT能源,石油和天然气勘探及生产
EQX,Equinox Gold,黄金
ES,Eversource Energy,公用事业 - 受监管电力
ESGR,恩斯塔,保险 - 多元化
ESS,埃塞克斯信托,房地产投资信托 - 住宅
ESTC,Elastic,软件 - 应用
ET,Energy Transfer,石油和天然气中游
ETN,伊顿,特种工业机械
ETR,安特吉,公用事业 - 受监管电力
ETSY,Etsy Inc,互联网零售
EVBG,Everbridge,软件 - 应用
EVER,EverQuote,互联网内容与信息
EVH,Evolent Health,健康信息服务
EVR,Evercore,资本市场
EW,爱德华生命科学,医疗设备
EWBC,华美银行,银行 - 地区性
EWTX,Edgewise Therapeutics,生物技术
EXC,爱克斯龙电力,公用事业 - 受监管电力
EXLS,伊克赛尔服务,信息技术服务
EXPD,康捷国际物流,综合货运与物流
EXPE,Expedia,旅游服务
EXPO,毅博科技咨询,工程建设
EXR,Extra Space Storage,房地产投资信托 - 工业
EXTR,极速网络,通讯设备
EYE,National Vision,专业零售
FA,First Advantage,专业商务服务
FAF,First American Financial,保险 - 专业
FANG,Diamondback Energy,石油和天然气勘探及生产
FAST,快扣,产业分布
FAT,FAT Brands,餐厅
FBIN,Fortune Brands Innovations,建筑产品及设备
FC,富兰克林柯维,教育培训服务
FCN,FTI咨询,咨询服务
FCX,麦克莫兰銅金,铜
FDMT,4D Molecular Therapeutics,生物技术
FDS,辉盛研究系统,财务数据与证券交易所
FDX,联邦快递,综合货运与物流
FE,第一能源,公用事业 - 受监管电力
FERG,Ferguson,产业分布
FEXD,Fintech Ecosystem Development Corp,空壳公司
FFIV,F5 Inc,软件 - 基础架构
FFNW,First Financial Northwest,银行 - 地区性
FG,F&G Annuities & Life,保险 - 人寿
FHB,First Hawaiian,银行 - 地区性
FHN,第一地平线国家银行,银行 - 地区性
FI,费哲金融服务,信息技术服务
FICO,Fair Isaac,软件 - 应用
FIHL,Fidelis Insurance,保险 - 多元化
FINV,信也科技,信贷服务
FIS,繁德信息技术,信息技术服务
FITB,五三银行,银行 - 地区性
FIVE,Five Below,专业零售
FIVN,Five9,软件 - 基础架构
FIX,美国舒适系统,工程建设
FIZZ,National Beverage,饮料 - 非酒精饮料
FL,富乐客,服装零售
FLEX,伟创力,电子元器件
FLFV,Feutune Light Acquisition Corp,空壳公司
FLS,福斯,特种工业机械
FLYX,flyExclusive,航空公司
FMC,FMC公司,农业投入品
FMS,费森尤斯医疗,医疗设施
FMX,FEMSA,饮料 - 啤酒
FN,Fabrinet,电子元器件
FNA,Paragon 28,医疗设备
FNCH,Finch Therapeutics,生物技术
FND,Floor & Decor,家居装修零售
FNF,富达国民金融,保险 - 专业
FNV,Franco-Nevada,黄金
FOA,Finance of America,信贷服务
FOSL,福斯尔集团,奢侈品
FOUR,Shift4 Payments,软件 - 基础架构
